question,answer
"Selamat siang dok, bayi saya berusia 6 bulan. tapi kakinya tampak lemas, terutama tungkai, jadinya dia belum bisa berdiri tegak. Itu kenapa ya? saya cari di google itu gejala penyakit hipotonia pada bayi. bisa tolong jelaskan itu penyakit apa dok.. terima kasih","Bayi normalnya akan mulai bisa berdiri tegak tanpa bantuan di kisaran usia 7 hingga 12 bulan. Kemampuan untuk menyangga berat badannya menggunakan kaki saat berdiri ini tentu diperoleh secara bertahap, tidak secara instan. Pada usia 6 bulan, kebanyakan bayi sudah mahir menegakkan kepala hingga punggungnya, mahir tengkurap, berguling-guling, menghentak-hentakkan kakinya saat diberdirikan, bahkan ada juga yang sudah mulai belajar duduk."
"Alodokter, dok mau nanya, saya minum normal 2,5 liter BB saya 55 Kg. saya tidak sedang melakukan aktivitas berat atau sejenisnya. jadi gini dok, saya kok tiap beberapa menit suka buang air kecil. ini saya sampe ganti celana dalam berkali-kali gara2 basah akibat cebok mulu. saya kenapa ya dok kok buang air kecil mulu Normalnya berapa jam sekali sih dok BAK itu?","Selamat siang, terima kasih telah bertanya di Alodokter.Normalnya, frekuensi buang air kecil adalah 4ÃƒÂ¢8 kali sehari. Namun, angka ini tidak mutlak, 10x atau sedikit lebih dari itu bisa saja normal selama orang tersebut tidak merasa terganggu.Pada kasus Anda, bila jedanya hanya hitungan menit, ini bisa jadi merupakan pertanda dari kondisi yang tidak normal."
"Dok saya mau tanya saya kan emang punya asam lambung yg sering kambuh, tapi baru kali ini saya merasa kepala saya sering sakit yang tak tertahan kan. Kenapa itu ya dok ? apakah 2 hal ini berhubungan dok?","Nyeri kepala yang tak tertahankan bisa terjadi karena beragam faktor, contohnya:Nyeri kepala primer, seperti migrain, nyeri kepala cluster, nyeri kepala tegangInfeksi, misalnya sinusitis, meningitis, abses gigi, demam Dengue, ensefalitisTumor jinak atau ganas di otakFaktor lain, seperti stres, gangguan metabolik, aneurisma pembuluh darah otak, syaraf leher kejepit, cidera kepala, dan sebagainyaAsam lambung yang meningkat sejatinya tidak secara langsung memicu nyeri kepala."
"Selamat siang dok,,Saya sedang hamil 37-38 Minggu,, terakhir periksa ke bidan kemarin dibilangnya kepala bayi udah masuk ke panggul.. pertanyaan saya,, berapa lama lagi kira kira saya akan melahirkan?","Masuknya bagian terbawah janin (biasanya kepala) ke pintu atas panggul (PAP) merupakan salah satu pertanda persalinan akan segera tiba. Biasanya, pada ibu yang belum pernah melahirkan (nullipara), bagian terbawah janin akan masuk ke PAP setelah usia kandungan memasuki 9 bulan. Namun, pada multipara (ibu yang sudah pernah melahirkan sebelumnya), bagian terbawah janin bisa sudah masuk ke PAP sejak usia kandungan 8 bulan.Meski begitu, tidak bisa dipastikan berapa lama Anda akan bersalin usai bagian terbawah janin Anda masuk ke PAP."
"Bayi saya usia 9 bulan abis minum sufor dan saya kasih buah pisang buat cemilannya udah gitu dia makan nasi tim buatan saya dok. Sorenya bayi saya muntah dan BAB cair sekali. fesesnya itu walaupun cair baunya menyengat sekali dok, dan warnaya kuning pekat. sampe bayi saya terlihat lemas lunglai dokter. solusinya apa dokter? ","Alo, selamat siangdiare pada bayi ditandai dengan perubahan frekuensi BAB lebih sering, tekstur lebih banyak air dari pada ampas. warna fases kuning termasuk warna fases yang normal. mencret pada bayi dapat disertai dengan gejala lainnya seperti mual, muntah, lemas dan lainnya. lemas dialami bayi hal wajar jika mengalami diare hingga adanya muntah karena menyebabkan banyak kehilangan cairan sehingga rentan mengalami kekurangan cairan yang menyebabkan lemas, maka untuk anda mengalami hal seperti ini perlu untuk memberikamn cairan yang banyak."
"Ãƒâ€šÃ‚Â Numpang tanya dokter alo... Anak saya usia 14 tahun, udah beberapa hari ini, ada benjolan bulat keras dibawah telinga dekat rahang kiri klu di teken sakit. Dan besar benjolannya sebesar biji kacang tanah dok. Apa penyebabnya dok?Mohon di jawab ya dokter.. Makasih sebelumnya dok","Alo, terima kasih atas pertanyaannya untuk Alodokter.Benjolan yang muncul di dekat telinga dapat disebabkan oleh banyak kemungkinan penyebab yaitu seperti pembengkakan kelenjar getah bening terutama jika saat ini sedang mengalami sakit infeksi, adanya infeksi telinga seperti pada kondisi otitis media dan interna, adanya infeksi pada tulang belakang telinga yang disebut dengan mastoiditis, atau karena adanya infeksi pada kulit seperti jerawat atau bisul, dan bisa juga benjolan lemak yang disebut lipoma atau kista sebasea yang disebabkan oleh penyumbatan kelenjar minyak."
"Anak saya usia 5 tahun, 2 minggu yang lalu sunat, terus luka sunatnya udah kering tapi belum mengelupas juga. 5 hari lalu saya konsul lagi ke dokter dan dikasih salep, saya udah berikan salepnya tapi lukanya belum mengelupas juga, bagaimana caranya agar luka sunat anak saya cepat mengelupas ya dok?","Alo, terima kasih atas pertanyaannya untuk Alodokter.Umumnya pemulihan paska sunat membutuhkan waktu sekitar 2-3 minggu, dimana perlu dilakukan perawatan luka yang baik untuk mempercepat pemulihan luka dan mencegah infeksi bakteri dan jamur yang menyulitkan penyembuhan luka."
"Halo dok, saya mau tanya. pemeriksaan hematokrit itu apa ya dok? apakah seseorang sebelum operasi harus melakukan pemeriksaan hematokrit ini? apabila hasil tes hematokritnya kurang apakah akan mempengaruhi proses operasi dan penyembuhan kedepannya? mohon penjelasannya dok. ","Hematokrit adalah kadar (prosentase) sel darah merah dalam darah. Sel darah merah sendiri penting peranannya untuk membawa oksigen dan mndistribusikannya ke seluruh tubuh. Normalnya, kadar hematokrit pada orang dewasa adalah berkisar antara 42 hingga 54% pada pria, dan antara 38 hingga 46% pada wanita.Kadar sel darah merah yang terlalu rendah, atau dengan kata lain nilai hematokrit yang rendah, bisa terjadi karena beragam faktor, seperti anemia, perdarahan, penghancuran sel darah merah, kurang gizi, berlebihan minum air, gangguan ginjal, gangguan sumsum tulang belakang, dan sebagainya."
"Siang dok, aku mau tanya. Semalam itu wajah ku nggak kenapa-napa, baik2 aja. Sampai aku pulang sekolah tadi siang. tbtbsaja wajahku full memerah, terasa gatal dan ada bintik-bintik kecil kayak jerawat gitu. Itu kenapa ya dok? terus cara mengatasinya gmana ya dok?","Alo, terima kasih atas pertanyaannya untuk Alodokter.Bintik merah kecil yang muncul pada kulit wajah bisa saja disebabkan oleh adanya sunburn akibat paparan sinar matahari, iritasi kulit, calon bakal jerawat seperti bruntusan dan komedo, atau milia yaitu penyumbatan minyak dan kulit mati."
"Ãƒâ€šÃ‚Â Selamat pagi dokter alo, salam sehat ya dokter. Dok saya mau nanya. anak saya demam dan disuruh test darah sama dokternya. hasilnya begini dok. HB : 15 g/dl , leukosit : 30.000 ( 5.000-10.000), trombosit : 100.000 (150.000-400.000).Mohon dibantu baca hasilnya ya dokter alo. terima kasih","Alo, terima kasih atas pertanyaannya untuk Alodokter.Pada hasil pemeriksaan darah yang anda lakukan, terdapat hasil yang abnormal yaitu leukosit yang lebih tinggi dari rentang normal dimana disebut dengan leukositosisdan dapat menandakan adanya infeksi baik dari mikroorganisme bakteri, virus, atau parasit.Sedangkan pada hasil trombosit yang rendah dibawah rentang normal, maka juga bisa menandakan kondisi trombositopenia yang dapat terjadi akibat infeksi virus seperti demam berdarah, atau infeksi lainnya."
"Siang dok, saya punya bayi umurnya 3 bulan dok.. Di rumah saya ini emang banyak nyamuk, jadi bayi saya sering banget kena gigitan nyamuk dok.. permasalahan yg mau saya tanyakan dok, karena gigitan nyamuk ini, di kulit bayi saya jadi banyak banget bekasnya dok.. cara untuk menghilangkan ini bagaimana ya kira"" dok?"," bundagigitan nyamuk rentan terjadi pada bayi begitu pula orang dewasa. pada bayi gigitan nyamuk dapat menyebabkan ia menjadi rewel dan meninggalkan bekas yang pastinya tidak enak di pandanga, namun bekas gigitan nyamuk ini tidak perlu bunda khawatirkan karena akan hilang dengan sendirinya selama tidak ada tanda infeksi seperti bengkak, merah, panas dan mengeluarkan cairan."
"Halo dok. Bayi saya berusia 5 bulan 2 minggu, apakah tidak apa-apa jika saya berikan MPASI? soalnya anak saya kali lihat orang makan tangannya suka mau ambil makanan dan mulutnya ikut ngecap kalo disuapin langsung membuka mulut.","MPASI umumnya dimulai saat anak berusia 6 bulan waktu ini ialah waktu yang ideal karena saluran cernanya sudah mulai siap menerima makanan. namun dibawah usia 6 bulan MPASI juga sudah bisa dimulai jika ada indikasi dan anjuran dari dokter seperti berat badan anak yang kurang salah satunya, namun usia harus diatas 4 bulan. jadi ada indikasi yang harus membolehkan bayi MPASI dini ya bunda dan harus dalam pengawasan dokter."
"Hallo dokter, dok saya wanita 28 th. saya ada masalah soal keputihan. jadi keputihan saya ini mempunyai warna kuning dan baunya amis. kuningnya itu kaya tahu yang hancur. Saya udah cebok pake rebusan daun sirih. namun ini gak hilang. kira kira itu kenapa ya dok? Apakah ada obat nya di apotik dok? Bagaimana cara mengatasinya?","Alo, selamat siangkeputihan merupakan suatu kondisi keluarnya cairan di vagina yang dimana keputihan ini dapat dikatakan normal dan abnormal. keputihan normal biasanya muncul saat menjelang menstruasi sata ovulasi, adanya rangasangan seksual, saat hamil. keputihan normal ditandai dengan warna putih atau bening tidak berbau dan tidak menimbulkan keluhan. sedangkan abnormal ditandai keputihan yang berubah warna, berbau serta mengalami keluhan seperti gatal dan nyeri dan biasanya disebabkan oleh infeksi baik akibat bakteri, jamur maupun parasit."
"Selamat siang dokter, saya seorqang pria 25 tahun mengidap tumor hemangioma di rahang bawah saya yg sudah cukup parah hingga terdapat darah menggumpal.. Cara pengobatan yg benar bagaimana ya dokter? ","Terima kasih atas pertanyaannya.Hemangioma adalahbenjolan kemerahan yang tumbuh di kulit bayi. Benjolan terbentuk dari kumpulan pembuluh darah yang tumbuh tidak normal dan menjadi satu. Biasanya hemangioma muncul saat lahir dan sering muncul di wajah, leher, kulit kepala, dan sebagainya pada anak berusia 18 bulan ke bawah. Hemangioma merupakan tumor jinak yang dapat menghilang sendirinya, namun bila menyebabkan gangguan fungsi tubuh maka perlu penanganan.Penyebab hemangioma dapat disebabkan karena pembuluh darah kecil tumbuh tidak normal dan kemudian menjadi satu."
"Bibir saya kejatuhan Hp saat saya mainin sambil tiduran dokter. trus bibir bagian atas saya berdarah, benjol dan memar sekarang memarnya ilang jd yg bekas luka robekannya jd luka membentuk koreng dan gatal. mau minta saran salep bibir luka itu pake apa ya dokter?","Alo, terima kasih atas pertanyaannya untuk Alodokter.Pada kondisi bibir yang mengalami luka dan koreng, maka anda hanya perlu secara rutin menggunakan pelembab bibir, untuk mempercepat pemulihan luka. Hal ini dikarenakan, penyembuhan luka pada bibir umumnya akan membaik dengan sendirinya, seiring dengan peningkatan kekebalan tubuh anda.Oleh karena itu, anda dapat menggunakan beberapa bahan pelembab alami yang dapat membantu mempercepat pemulihan luka pada bibir anda yaitu seperti madu yang juga mengandung antibakteri, minyak kelapa, minyak zaitun, dan lidah buaya."
"Jadi gini dok, saya kan udah dari kuliah mengalami mata minus, nah sekarang2 ini saya mau ganti kacamata saat diperiksa ternyata saya mengalami mata silinder ukuran 0,5 di bagian mata kanan. Kata mas2 optik yg memeriksa mata saya. 0,5 itu di abaikan saja soalnya masih tidak terlalu mengganggu. Dan kacamata yg saya pesan ini ya skrg gada untuk mata silinder dok. hanya mata minus aja. Apakah mata silinder yg tidak tertangani itu bahaya dok?","Alo, terima kasih atas pertanyaannya untuk Alodokter.Mata silinder dapat dialami seseorang ketika memiliki bentuk kornea yang tidak cembung secara sempurna, sehingga cahaya yang masuk dari kornea tidak dapat fokus pada satu titik di retina dan membuat penglihatan menjadi kabur.Mata silinder bisa sajd imiliki seseorang sejak lahir, atau karena adanya riwayat infeksi atau operasi pada mata sebelumnya.Untuk mengatasinya, maka perlu dengan menggunakan kacamata atau lensa kontak khusus silinder, atau dengan melakukan operasi LASIK untuk menghilangkan kondisi mata minus dan mata silinder."
"Selamat pagi dok tiba tiba saat meraba bawah dagu ada benjolan sebesar kelereng namun tidak sakit saat di pegang atau di tekan karna kemarin"" tidak ada atau memang saya gak fokus sebelum nya mohon penjelasan nya","Alo, terima kasih atas pertanyaannya untuk Alodokter.Benjolan yang tidak terasa nyeri dimana muncul pada leher termasuk di sekitar dagu dan rahang dapat disebabkan oleh banyak kemungkinan penyebab yaitu seperti pembengkakan kelenjar getah bening, batu atau tumor kelenjar ludah, gondongan, atau pertumbuhan kulit berlebih yang disebut dengan skin tag."
"Dok saya kan kena covid-19, padahal saya udah vaksin booster yang pertama, jadi ini baru sebulan lalu saya kenannya. ini kan jadwal saya mau vaksin booster ke-2 kebetulan tp pas di puskesmas saya bilang saya abis kena covid. lalu petugasnya bilang nunggu 3 bulan lagi untuk vaksin. Emang kenapa ya dok? ","vaksin covid ialah zat atau senyawa yang berfungsi untuk membentuk kekebalan tubuh terhadap suatu penyakit, jadi bisa mencegah penularan, namun peluang tertular juga bisa terjadi dengan harapan gejala ringan. karena vaksin covid masih sangat baru, penelitihan dan evluasi masih terus dilakukan untuk menilai respon tubuh dan kemungkinan efek samping vaksin. setiap orang ingin mendapatkan vaksin covid harus memenuhi kriteria terutama harus sehat, jika sedang sakit atau konsumsi obat perlunya persetujuan oleh dokter yang merawat."
"Siang dok, saya seorang remaja laki"" umur 17 tahun dok, tinggi saya saat ini 167cm dok, gimana ya supaya tinggi saya bisa bertambha ya dok? saya mau daftar akmil setelah lulus nanti","Selamat sore, terima kasih telah bertanya di Alodokter. Pada dasarnya, tinggi badan seseorang merupakan kombinasi dari faktor genetik dan faktor lingkungan. Faktor genetik berperan dalam menentukan potensi tinggi badan seseorang, dan faktor lingkungan berperan dalam mengakomodasi potensi tinggi badan tersebut. Bila seseorang memiliki genetik tinggi tapi tidak ditunjang dengan faktor lingkungan berupa nutrisi, olahraga dan istirahat, ia tidak akan mencapai potensi tinggi badan paling optimalnya."
"Selamat sore, Saya pria usia 46 th, penderita diabetes dan saat ini sedang rutin konsumsi obat metformin, akhir-akhir ini saya punya keluhan yaitu saya ngerasain telapak kaki saya panas seperti kena cabe dan saya sering kepanasan dok. Apakah ini pengaruh dari penyakit saya atau karena gegara obatnya ya dokter? mohon pencerahannya. terima kasih banyak","kaki terasa panas sangat beragam penyebabnya namun paling sering dikaitkan dengan gangguan saraf, namun bisa pula akibat hal lain ada beberapa penyebabnya seperti :diabetes, kadar gula dalam darah yang tinggi bisa menyebabkan kerusakan saraf di seluruh tubuh yang dapat dimulai dari kaki atau jari kaki, saat saraf tubuh area kaki rusak maka penderita akan mengeluh kaki terasa panas, nyeri, kesemutan dan lainnya."
"Dokter,, saya kan sering mengajak anak saya bepergian jarak jauh naik motor, bahkan kadang di pagi dan malam hari. btw anak saya usianya 6 tahun. Saya khawatir lama-lama anak saya terkena flek paru-paru. Ciri-ciri flek paru-paru itu seperti apa sih dokter?","Terima kasih atas pertanyaannya.Flek paru merupakan suatu kondisi dimana pada paru ditemukan bercak putih pada rontgen. Flek paru pada bahasa medis disebut dengan tuberkulosis. Tuberkulosis sendiri merupakan infeksi paru yang dapat disebabkan oleh infeksi bakteri yang dapat terhirup sehingga menimbulkan gejala pernapasan. Gejala pernapasan yang ditimbulkan akibat flek paru seperti batuk lama, demam tidak kunjung sembuh, berat badan tidak naik, lemas, keringat dingin malam hari, muncul benjolan kelenjar getah bening."
"Selamat pagi dokter.. Saat ini saya sedang hamil 6 minggu, sudah 3 hari ini saya keluar flek coklat keluarnya tidak banyak dan jarag2 gitu. Misalnya nih, pagi ini keluar nanti siang tidak keluar, baru keluar lagi sore dan malam hari. Itu bahaya nggak ya dok? Soalnya saya punya riwayat BO 2 tahun lalu. Saya takut ini gejala BO lagi dok.. bagaimana cara mengatasinya ya dok.. terima kasih","Keluar flek cokelat sedikit-sedikit dari jalan lahir ibu hamil 6 minggu bisa terjadi karena beberapa faktor berikut:Flek implantasi yang wajar (terjadi karena robekan pembuluh darah saat bakal janin menanamkan diri ke dinding rahim)Hamil kosong (blighted ovum)Ancaman keguguran (abortus imminens)Faktor lain, seperti hamil ektopik, perlukaan jalan lahir akibat hubungan seks atau masturbasi berlebihan, batu atau infeksi saluran kemih, polip rahim, miom, dan sebagainyaJika memang sudah berhari-hari keluhan tersebut Anda alami, sebaiknya Anda tidak membiarkannya."
"Hai dokter, Saya mau tanya. Ada nggak sih obat untuk pembersih leher yg hitam karena daki yang menumpuk. Biasanya orang gemuk itu banyak di leher, atau lehernya memang hitam? Saya udah coba pakai baby oil tapi hasilnya kurang maksimal dok. Menurut dokter bgmn ya?","Terima kasih atas pertanyaannya.Munculnya leher yang menghitam pada orang yang gemuk atau yang obesitas sering terjadi karena pada orang yang gemuk terjadi penumpukan lemak berlebih yang menumpuk di bawah kulit, sehingga menyebabkan terdapat lipatan tambahan pada kulit. Adanya lipatan tambahan pada kulit tersebut menyebabkan keringat lebih mudah menumpuk sehingga menimbulkan lebih banyak mikroorganisme menumpuk. Pada lipatan kulit tersebut terjadi perubahan warna yang menimbulkan hiperpigmentasi karena gesekan antar kulit yang berulang."
"Hallo dokter, dok bayi saya usia 6 bulan tiap merangkak itu mundur dokter., apakah ada yg salah sama bayi saya dok? perkembangan semua ALhamdulillah normal, namun cuma itu aja dok. apakah wajar itu dokter?","merangkak merupakan salah satu tahapan dalam tumbuh kembang bayi. saat belajar merangkak sebagian bayi ada yang merangkak mundur dimana kondisi ini sebetulnya merupakan hal yang wajar bunda. bunda tidak perlu khawatir berlebihan jika si kecil melakukan hal ini. seiring berjalannya waktu bayi dapat menyimbangkan tubuhnya, serta mengatur koordinasi kaki dan tangan sehingga bisa merangkak ke depan.bayi membutuhkan waktu untuk merangkak dengan tepat, ketika bayi mulai belajar merangkak ia akan memilih cara yang paling mudah untuk melakukannya salah satunya adalah merangkak mundur."
"Siang dok.. mau tanya saya sedang mengandung 7 bulan..Pertanyaan sy , bolehkah ibu hamil di kerik tubuhnya karena badan sy pada sakit dan masuk angin..Terimakasih.","Terima kasih atas pertanyaannya.Kerikan biasanya dilakukan untuk mengurangi keluhan seperti masuk angin yang biasanya ditandai dengan gejala seperti flu misalnya pilek, demam, menggigil, keringat dingin, mual, muntah dan sebagainya. Kerokan dilakukan dengan menggores bagian kulit dengan logam yang menyebabkan kemerahan pada kulit.Mengenai kerokan pada ibu hamil masih belum pasti keamanannya, namun bila ingin melakukan sebaiknya tidak dilakukan pada trimester ketiga karena dapat berisiko menimbulkan kontraksi. Selain itu kerokan juga dapat menyebabkan risiko iritasi kulit, nyeri dan sebagainya."
"Alodokter, dok anak saya usianya 5 tahun sekarang. dari kemaren anak saya demam, batuk muntah2. demam sama batuk udah mendingan, tapi muntah2nya ini gak ilang2 juga dok. tiap masuk nasi 3-4 suap langsung dimuntahin. mau nanya dong dokter. makanan apa yang bagus dan tepat untuk anak yang muntah-muntah begini dokter?. tolong di balas. makasih","Alo, terima kasih atas pertanyaannya untuk Alodokter.Kondisi muntah yang anak anda alami bisa saja terjadi karena batuk yang dialai terus menerus sehingga merangsang reflek muntah pada tenggorokan. Selain itu, muntah juga bisa terjadi karena anak anda sedang mengalami gangguan saluran cerna.Oleh karena itu, untuk mengatasi muntah, maka anda perlu membantu menghilangkan gejala batuknya dengan memberikannya obat batuk sesuai dengan jenis batuk yang dialami apakah batuk berdahak atau batuk kering."
"Dok saya abis melahirkan 2 minggu yang lalu. payudara saya tidak di minum ASInya dok, saya sengaja kasih sufor untuk anak saya. Kok sekarang ini malah payudara bengkak dok. yang ingin saya tanyakan ini penyebabnya apa dokter dan bagaimana solusinya untuk mengatasi payudara bengak setelah melahikan. Apa ini yang dinamakan mastitis dok?","Saat menjelang persalinan, produksi ASI akan semakin meningkat karena pengaruh hormon dalam tubuh. Akan tetapi, ASI ini seringnya tidak akan langsung keluar dengan lancar, kecuali jika disedot langsung oleh bayi atau diperah.Kondisi Anda yang tidak menyusui bayi Anda jelas saja akan mmbuat ASI menumpuk dan membuat payudara membengkak, terasa nyeri, bahkan bisa sampai muncul benjolan, memicu demam, dan beragam keluhan lainnya. Jika tidak segera ditangani, kondisi ini bisa berujung pada mastitis dan produksi ASI pun akan terus berkurang."
"Halo, dok. Saya mau bertanya. Apakah mungkin terjadi kehamilan setelah haid? soalnya istri saya baru selesai haid seminggu yg lalu, terus dia merasakan mual, dok.. akhirnya dia iseng testpack ternyata hasilnya positif, apakah itu akurat dok?","Mual memang bisa merupakan bagian dari tanda awal kehamilan. Bagi wanita yang siklus menstruasinya sangat pendek, bukan mustahil kehamilan terjadi 1 minggu usai menstruasi.Namun, perlu juga Anda pahami, bahwa ada banyak lagi faktor lain yang juga bisa menyebabkan mual, contohnya dispepsia, infeksi pencernaan, infeksi sistem organ lainnya, gangguan hati, gangguan ginjal, obstruksi usus, cemas berlebihan, dan sebagainya. Hasil testpack istri Anda yang positif pun bisa juga salah, misalnya karena prosedur testpack yang kurang tepat, pengaruh obat, atau juga urin yang terkontaminasi oleh bakteri."
