indis,oyuncu1,oyuncu2,mac_sonucu,veri_indisi
112,cosmos_llama3,meta_llama3,,26438
59,meta_llama3,cosmos_llama3,,18970
63,trendyol_mistral,meta_llama3,,20577
105,meta_llama3,trendyol_mistral,,27969
37,cosmos_llama3,meta_llama3,,11072
29,meta_llama3,cosmos_llama3,,8214
115,cosmos_llama3,trendyol_mistral,,8761
1,trendyol_mistral,cosmos_llama3,,28543
52,meta_llama3,sambalingo_llama2,,19568
21,cosmos_llama3,sambalingo_llama2,,16772
2,trendyol_mistral,meta_llama3,,28543
23,sambalingo_llama2,meta_llama3,,16772
103,cosmos_llama3,trendyol_mistral,,27969
99,trendyol_mistral,cosmos_llama3,,30203
87,trendyol_mistral,cosmos_llama3,,8471
108,sambalingo_llama2,cosmos_llama3,,26438
74,meta_llama3,cosmos_llama3,,19560
86,sambalingo_llama2,meta_llama3,,8471
82,cosmos_llama3,trendyol_mistral,,6631
119,trendyol_mistral,meta_llama3,,8761
20,trendyol_mistral,meta_llama3,,16772
60,cosmos_llama3,trendyol_mistral,,20577
71,cosmos_llama3,meta_llama3,,10581
106,meta_llama3,sambalingo_llama2,,27969
14,meta_llama3,sambalingo_llama2,,6011
92,sambalingo_llama2,cosmos_llama3,,6836
51,meta_llama3,trendyol_mistral,,19568
102,cosmos_llama3,meta_llama3,,27969
