index,question,model1,model2
6836,İki yıl önce evlendim. Şimdi bebek planlıyoruz. Günlük beş ila yedi sigara içiyorum. Bebek hazırlığı yapmadan önce sperm analizi yaptırdım ve sperm aglütinasyonumun pozitif (baştan başa) olduğunu öğrendim. Sperm sayım 42 milyon. Aktif spermlerden daha fazla yavaş ilerleyen sperme sahibim. Doktorum durumun tedavi edilemez olduğunu söyledi. Lütfen bu durumun tedavi edilebilir olup olmadığını bana söyleyin. Lütfen bana yardım edin.,"Sigara içmek, doğurganlığınızı etkileyebilir çünkü meni kalitesini düşürebilir veya düşük yapma riskini artırabilir. Sigara içmenin neden olduğu hasar geri döndürülemez olsa da sigarayı bırakmak kesinlikle yardımcı olacaktır. Sigaradan kaçınmanın yanı sıra sağlıklı beslenmek de önemlidir; bol miktarda meyve, sebze tüketmek gibi dengeli beslenme alışkanlıkları edinmek faydalı olabilir. Ayrıca düzenli egzersiz yapmak genel sağlığınıza katkıda bulunabilirken aynı zamanda hormonal dengeyi korumaya da yardımcı olur.","Merhaba, Sorunuzu inceledikten sonra endişenizi anlıyorum. Semptomlarınıza ilişkin önerilen tedaviyi takip etmeniz gerekiyor. Bu nedenle, lütfen aşağıdaki ilaçları kullanın; 1) Günde iki kez 500 mg C vitamini 2) Geceleri bir adet Folik asit 5 mg 3) Her gece bir adet Koenzim Q10 100 mg 4) Bir ay boyunca günde üç kez D-Sitrat 1000 mg 5) İki hafta boyunca her gün bir adet Niasinamid 10 mg 6) Üç ay boyunca her sabah bir adet E Vitamini 800 IU 7) Yedi gün boyunca günde iki kez bir adet Bacopa Monnieri tozu 8) On gün boyunca geceleri bir kez bir tablet Triptofan Hidroklorür 9) On beş gün boyunca yemeklerden önce bir adet Omega-3 yağ asidi takviyesi 10) Onbeş gün boyunca kahvaltıdan önce bir kapsül çinko alın 11) On buçuk gün boyunca akşam yemeğinden sonra bir adet CoQ-10 al 12) On sekiz gün boyunca her gece bir kez Melanin al 13) On dokuz gün boyunca yatmadan önce bir kez Ginkgo Biloba al 14) On dokuzuncu günden itibaren on dört gün boyunca bir kez Amino asitler al 15) On yediden itibaren on altı gün boyunca günlük bir kez L-karnitin al 16) On yedi gün boyunca sabahları bir kez Bromelain al 17) Onsekiz gün boyunca geceleyin bir kez Zencefil al 18) Ondokuz gün boyunca öğleden sonraları bir kez Kalsiyum Pantotenat al 19) Ondört gün boyunca öğünlerden önce birer tane olmak üzere bir kez Stres azaltma hapı al 20) Onbirinci günden itibaren otuz gün boyunca cinsel ilişki sırasında prezervatif kullanmanızı tavsiye ederim."
26438,"Hocam merhaba. Ben ilişkiden sonra hiv profilaksisi için 66. saatte tivicay 50 mg ve sidatri 200/245 mg ilaçlarını günde birer tane ve 1 aya tamamlanacak şekilde kullanıyordu ama yanlış bildiğim için ben ilk 3 gün günde ikişer tane yutarak 25-28 gün kullanmıştım. İlişkiden sonraki 3. ayda hiv combo testim negatif gelmişti. Siz 6. ayda da test olun demiştiniz. Bende ilişkiden sonraki tahmini tarih arası günde hiv combo testi oldum yine, hiv1+2 antikor/p24 antijen sonucum=0,147 geldi. Sonra tahmini tarih günde hcv testi oldum, antihcv=0,037 geldi. Şimdi klinik.org.tr'de temas sonrası profilaksisi başlığı altında ""Kaynakta hcv-hiv koenfeksiyonu mevcutsa 12. ayda hiv testi tekrarlanmalı, geç serokonversiyon olabilir"" diyor. Şimdi benim 12. ayda yine test yaptırmama gerek yok, değil mi? Bende kesin hiv virüsü yok, değil mi hocam, artık rahatlayabilir miyim?",Merhaba! Artık bu konuyu kapatabilirsiniz; çünkü 12 ay önce yapılan tetkikiniz normal gelmiş (antikor). Sağlıklı günler dilerim.,Bu konuda endişenizi giderecek kadar bilgi vermişsiniz.
28543,"Merhaba, 26 yaşındayım ve 4 ay önce total kalça protezi ameliyatı oldum. Son zamanlarda genellikle gece meydana gelen kalça bölgesinde seğirmeler yaşıyorum. Daha önce hiç böyle seğirmelerim olmamıştı ve meydana geldiğinde neredeyse korkutucu oluyor. Bu, kalça protezi ile ilişkili olabilir mi?","Sorunuz için teşekkür ederim. Sorunuzu inceledim. Sırt ağrısının birçok nedeni vardır; bunlar arasında kas-iskelet sistemi bozuklukları da dahil olmak üzere enfeksiyonlar, iltihaplanma veya tüberküloz gibi çeşitli hastalıklar yer alabilir. Kalça eklemi artriti de sırt ağrısına neden olabilir. Ancak bu ağrı, kalçanın hareket ettirilmesiyle artar mı? Eğer öyleyse, o zaman muhtemelen kalça eklemini etkileyen bir durumdur. Ağrının başka olası sebepleri şunlardır: - Omurga sorunları (omurga yaralanması) - Kas problemleri (örneğin, fibromiyalji) - Sinir sıkışması (örn., karpal tünel sendromu) - Anksiyete bozuklukları. Endişelenecek bir şey yok. Ağrı kesici kullanabilirsiniz. Bunun yanı sıra fizik tedavi egzersizleri yapın. İltihap varsa, iltihabı azaltmak için steroidler kullanılabilir. Bununla birlikte, tanıyı doğrulamak ve uygun tedaviyi başlatmak için bir ortopedi cerrahına başvurmanız daha iyi olacaktır. Yanıtın faydalı olduğunu umuyorum. İyi sağlık dilerim.","Sevgili hasta, Kalçanın kaslarının zayıflığı nedeniyle bu tür belirtiler ortaya çıkabilir veya sinir sıkışması da neden olmuş olabilir. Lütfen ortopedi cerrahınıza danışın ve klinik muayene yaptırın; eğer gerekiyorsa MRI taraması yapılabilir. Eğer sadece nörolojikse o zaman fizyoterapiye ihtiyacınız olacak aksi takdirde cerrahi müdahale gerekebilir. Size iyi sağlıklar dilerim"
8471,"Merhaba, 13 aylık bir bebeğim var. 1 hafta önce yüksek ateş, ishal ve kusma şikayetleriyle doktora götürdük. Lökopenisi vardı, antibiyotik tedavisi aldı ve ateşi düştü, kusması geçti ama ishali hala devam ediyor. Yapılan tahlillerde WBC normal çıktı. İshali için Reflor 250 veriyorum ama hala geçmedi, günde 7-8 kez yapıyor. Suda içiriyorum ama halsizleşmeye başladı. Ne yapabilirim? Çocuk zayıflamaya başladı, çaresiz kaldım. Teşekkür ederim.",Çocuk gastroenteroloji uzmanı olan bir çocuk cerrahı veya çocuk hastalıkları uzmanı ile görüşmeniz gerekiyor.,Bebeklerde bu tip durumlar sık görülen durumlardır. Bu sebeple de çok titizlikle izlenmelidirler. Ateşin düşmesi ile birlikte bebeklerin kendilerini daha iyi hissetmeleri gerekirken aksine yorgunlukları artar. Bebeklere suyunuza bolca ekleyerek beslemeye özen gösteriniz.
27969,"Bademcik taşı hakkında. Benim bademciğimde çukurlar var ve içinde beyaz bademcik taşı var, arada temizliyorum yani kan akıyor biraz kan akmadan temizlenmiyor, çok hassas çünkü ve bayağı çıkıyor küçük küçük içine tuz ile suyu sıkıyorum deliklere ve birden iltihaplar dışarı çıkıyor eğlenceli baya ve temiz oluyor. Bademcigim temiz oldu, sorun yok ama kulak çubuğunu bademciği gezdik mi az dokunursam, oradaki tükürükler kulak çubuğuna yapışıyor ve koklayınca kötü koku var, hala bademcik taşının kokusunu alıyorum ama bademciği dokunuyorum, yani gözenekler temiz, dışa dokunduğumda öyle oluyor, koku sinmiş galiba; sizce böyle bir şey mümkün mü, ne yapmam lazım? Son olarak bir delik yüzünden ameliyat olacağım, büyük ihtimalle tıpta gelişme yok mu acaba, merhem filan sürsek kapanmaz mı hiç deneyen olmamıştır ama neden kapanmasın ki sonuçta sonradan olan bir şey, son bir senede oldu, sivilce çukuru oldu mu nasıl merhem krem sürüyorsak onun da bir merhemi kremi sürsek kapanabilir mi, teşekkürler.",Kulak burun boğaz doktorunun bu işin içini bilmesi gerekir.,"Merhaba, öncelikle geçmiş olsun! Bahsettiğiniz durum için maalesef cerrahi dışında tedavi yöntemini bilmiyorum ancak bahsettiğim gibi bu tür durumlarda genellikle cerrahiden başka seçenek yoktur diye düşünüyorum."
20577,"Merhaba, Babam 63 yaşında, 2012 Ağustos'unda ciddi bir kalp krizi geçirdi, mevcut durumu aşağıdaki gibidir: Koroner Arter Hastalığı: Sağ Ventrikülde Duvar Hareket Bozukluğu +, Anteriyor Duvar Miyokardiyal İnfarktüsü, Sol Ventrikül Fonksiyon Bozukluğu YOK YET / PAH / PIR / PENO. Normal Kapaklar EF: 30 Babamın tehlikeden uzak ve her zaman iyi sağlıkta olmasını istiyorum. Kalp durumunu iyileştirmek için yardıma ihtiyacım var. Lütfen yardım edin. Saygılarımla, Mallikarjuna","Babana kalbinin sağ tarafında (sağ ventrikül) duvar hareketinin bozulduğu ve anteriordaki miyokartın infarktı olduğu görüldü. Bu, koronary arter hastalığının bir sonucudur. Kardiyolog tarafından reçete edilen ilaçlara devam etmelisiniz. Dikkatli olun. Tansiyonu kontrol altında tutmak çok önemlidir. Ağırlık kaldırma gibi fiziksel aktiviteyi sınırlamak da gereklidir. Etkili egzersizler yapabilir; ancak bu sadece doktorunuzun gözetiminde yapılmalıdır.",Chat Doctor'daki sorunuz için teşekkürler! Endişenizi anlıyorum! Bu tür durumlarda genellikle hastalarıma şunları öneriyorum:1) Günde iki kez 20 mg aspirin2) Günlük olarak 1 gm C vitamini3) Her gün düzenli egzersiz4) Yağlı yiyeceklerden kaçınma5) Sigara içmeme6) Alkol tüketmemek7) Tuz tüketimini günde 6 grama sınırlama8) Düzenli tansiyon kontrolü9) Kan lipid profili kontrolu10) Haftada en az 3 ila 4 porsiyon balık tüketimi (omega-3 yağ asitleri açısından zengin). Umuyorum ki bu size yardımcı olur! Başka sorularınız varsa çekinmeden sorun!
17657,"Beyin damarlarında vaskülit ve iskemik neden kaynaklandığını ve ilk yapılacak teknik tahliller nelerdir, aynı zamanda vücutta herhangi bir probleme yol açar mı yardımcı olmanızı rica edecektim. Saygılarımla.",Vakulit olarak adlandırılan bu durum için öncelikle kardiyolojiye başvurmanız gerekir.,Vakıf hastalıkları için önce beyin görüntülerini (MRG) çekmek gerekir.
27623,Annem 84 yaşında. Parkinson Hastalığı ve lenfatik kanser sonrası. Hijyenik pedinde vajinasından kan lekeleri fark ettim. Doktorunu ziyaret etti ve trimetoprim adlı 3 günlük bir tedavi yazıldı - idrar yaparken zorlanıyordu ve idrar enfeksiyonu olduğu düşünüldü. Ancak kan lekeleri durmadı. Yarın sabah tekrar doktoru aramayı planlıyorum ama siz ne tavsiye edersiniz? SMT,"Merhaba, Chat Doctor'a hoş geldiniz... Annenizin geçmişini inceledim.... İdrar yolu enfeksiyonları için antibiyotik tedavisi alıyordu..... Bu yüzden vajinal kanamaya neden olabilir...... Kanama devam ederse jinekolog tarafından muayene edilmesi gerekebilir........ Eğer rahim ağzı kanseri varsa biyopsiler yapılabilir veya smear testi ile değerlendirilebilir.... Ayrıca menopozda olduğundan dolayı hormonal dengesizlik de bu tür belirtilere yol açabilir.... Hormonal replasman terapisi faydalı olacaktır.... Kendinize iyi bakın","Merhaba, sorgunuz için teşekkürler. Vajinal olarak gelen bu tür kanama, çeşitli nedenlerden kaynaklanabilir:1) Cinsel yolla bulaşan hastalıklar2) İdrara çıkma sırasında veya öksürme gibi diğer faaliyetlerde zorlanma nedeniyle yaralanmalar3) Kansere bağlı olarak4) Diğerleri de olabilir. Bu nedenle, tam bir muayene gereklidir. Lütfen onu uygun şekilde incelemek için bir jinekologa götürün. Umarım bu bilgi faydalı olur."
10581,"Hocam merhaba. Hakkari Dağlıca'da yani dağda asker olarak görev yaptığım için yerinde gösteremiyorum. Malum, revir denilen yerde ağrı kesici verip gönderiyorlar. Sırtımda sağ kürek kemiğimden midir, iç kısımlardan mıdır bilmediğim bir ağrım var. Kürek kemiğimin alt baş kısmı. Bu ağrı yanma hissi veya bıçak saplanması gibi. Hiç yokken bir işle meşgul olup eğilince bir süre sonra beliriyor. Ve ondan sonra normal şekilde otursam dahi rahat etmiyor. Ancak sırt üstü uzanırsam rahatlıyorum. Veya bir yerlere sürtersem rahatlıyorum. İzine gittiğimde yerinde göstereceğim ama şu anda ne yapabilirim yardımcı olursanız sevinirim.",Merhaba; öncelikle geçmiş olsun! Anlattığınız kadarıyla kas romatizması olma ihtimali yüksek görünüyor ancak yine de muayene etmeden net konuşmak doğru olmaz çünkü bu tür durumlarda tanı koymak bazen zor olabiliyor ve farklı tanılar da konabiliyor (kas spazmı vs.). Eğer imkanınız varsa bulunduğunuz ildeki fizik tedavi uzmanına başvurmanızı öneririm ya da izinli geldiğinizde bana gelebilirsiniz. Sağlıklı günler dilerim.,Sizce hangi bölgede?
17657,"Beyin damarlarında vaskülit ve iskemik neden kaynaklandığını ve ilk yapılacak teknik tahliller nelerdir, aynı zamanda vücutta herhangi bir probleme yol açar mı yardımcı olmanızı rica edecektim. Saygılarımla.",İlk yapılması gereken tetkik beyin MR'ıdır. Vaskülitin birçok nedeni vardır ama en sık nedenler arasında Behçet hastalığı gelir ki bu hastalıkta vücudun başka yerlerinde de tutulumlar olabilir (gözde iltihaplanma gibi).,Vakulit olarak adlandırılan bu durum için öncelikle kardiyolojiye başvurmanız gerekir.
6011,"İdrarımda kırmızı akıyor ve yanmalar oluyor, bunun sorunu ne olabilir?",Bulunduğunuz ilde bir uroloji uzmanı ile görüşün lütfen.,Bunun için bir nöroloji uzmanına danışmanızı öneririm.
6011,"İdrarımda kırmızı akıyor ve yanmalar oluyor, bunun sorunu ne olabilir?",Bunun için bir nöroloji uzmanına danışmanızı öneririm.,Kan tahlili yaptırın.
8761,"Hayırlı günler doktor hanım, benim 14 aylık kızım var. Su çiçeği aşısını vurduracağım, 1 yaşından sonra vurduruluyor ama vurulma süresi var mı, 1 yaşından sonra istediğim zaman vurdurabilir miyim, süresi kısıtlı mı yani? Teşekkürler.",Bunu yapmıyorum ama bu konuda bilgi sahibim ve size yardım edebilirim.,"Merhaba, su çiçeğinde aşı için en uygun yaş 6 ay ile 2 yaş arasıdır ancak bu dönemde yapılmadıysa 4-6 yaşına kadar yapılabilir ve koruyuculuğu %95'tir. Geçmiş olsun."
19560,"Sorum yalancı trombosit ile ilgili. Bunun ne gibi zararları var, evlilikte doğacak çocuklarla ilgili nelere yol açar bilgi verir misiniz? Saygılar.",Bu testlerin hiçbir zararı yoktur ve bu testler normal ise çocuk sahibi olmanıza engel değildir.,Yanlış olarak da adlandırılan bu durum aslında normaldir ve hiçbir şekilde sorun yaratmaz.
30203,"Karın ağrılarım var. Alt karın bölgemde hafif bir şişlik hissi var. Bu durum şimdiye kadar 3 haftadır devam ediyor. Doktorum amoksisilin yazdı. Sorunumu hafife almış olabileceğinden endişeliyim çünkü hiç tarama yapmadı veya etkilenen bölgeyi bile hissetmedi. Amoksisilin sorunu çözebilir mi ve belki yakında bir karın taraması ayarlamalı mıyım? Abartıyor olabilirim ama böbrek, pankreas veya karaciğer sorunu olabilir diye düşünüyorum. Amoksisilin diğer organlardan herhangi birinde sorun varsa durumu kötüleştirebilir mi?","Merhaba! İyi akşamlar. Ben Chat Doctor, sorunuza yanıt veren doktorum. Eğer ben senin tedavi eden doktorun olsaydım, sana antibiyotik tedavisini tamamlamadan önce rutin tam kan sayımı (CBC), rastgele kan şekeri ölçümü gibi bazı tetkikler önerirdim; idrar tahlilleri de dahil olmak üzere ultrasonografi ile birlikte. Antibiyotiğin yanı sıra semptomatik rahatlama için antiasit tedavisi öneririmdi. Ayrıca size bol miktarda sıvı tüketmenizi tavsiye ederdim. Daha sonraki yönetim, klinik değerlendirme sonrasında yapılan incelemelerin raporlarına bağlı olacaktır. O zamana kadar iyi günler dilerim.","Merhaba! Sorgunuz için teşekkürler. Karın bölgesindeki bu tür belirtiler çeşitli nedenlerden kaynaklanabilir: - Mide rahatsızlığı (örn. gıda zehirlenmesi) - İdrar yolu enfeksiyonu - Pekişmiş kist gibi bazı iç yapıların büyümesinden dolayı - Diğerleri de dahil olmak üzere. Ancak yine de doktorunuza danışmak daha iyi olur. Eğer o da aynı şekilde hissediyorsa, o zaman bir görüntüleme çalışması yaptırmanız gerekecektir. Umarım bu bilgi faydalıdır."
8214,"Merhabalar hocam, benim üst çenemde sağdan sola doğru bir eğrilik var, yüzümün sol tarafı aşağıda gibi duruyor ve yüzümde asimetri var. Burnum sağa doğru yamuk görünüyor. Aynaya baktığımda göremiyorum ama resimlerde çok belli oluyor. Güldüğümde üst çenemin sağdan sola doğru olduğu ve yüzümün asimetrik olduğu belli oluyor. Çenemden kaynaklı olduğunu düşünüyorum. Çene asimetrisi düzeltilirse yüzümün asimetrisi dengeleşir mi?",Çene ameliyatı ile birlikte burun estetiği de yapılabilirse daha iyi olur kanaatindeyim.,Çene simetrisi bozukluğunun tedavisi mümkün ancak bu konuda kesin bilgi verebilmek için muayene olmanız gerekiyor.
6631,"Merhaba doktor, şu anda hamilelik yaşı 36 hafta. Kadın doğum doktorum, bebeğin başının henüz leğene girmediklerini söyledi. Bu dar pelvis belirtileri olabilir mi, doktor? Nasıl üstesinden gelinir? Lütfen yardım edin, teşekkürler.","Doktorunuzdan bu bilgiyi almanızın sebebi nedir? Bebeklerin normalde 37-38 haftada dünyaya gelirken, bazı bebekler daha erken (32-35) ve diğerleri de geç (39-42) gelebilir. Dar pelvik yapısı, yani bireyin kalça kemiği ile sacrumu arasında çok az mesafe olan yapıya sahip olmasıdır. Bu durum, vajina veya rahim ağzında sıkışmaya neden olabileceğinden, bazen zorlu bir şekilde doğuma yol açabilir.","Sorunuz için teşekkür ederiz. Kansere dair herhangi bir belirtiniz veya ailenizde bu tür durumlar varsa, o zaman daha fazla araştırma yapmanız gerekebilir; ancak genel olarak bu çok yaygın bir durumdur ve çoğu durumda iyi huyludur. Ancak yine de bir doktor tarafından muayene edilmelisiniz. Ağız boşluğunun klinik değerlendirmesi ile birlikte bazı kan testleri (tam kan sayımı) yapılmalıdır. Eğer tüm bunlar normal çıkarsa, o kadar büyük değilse, o da geçecektir."
16772,"Merhaba doktor hanım, 2013 tarihinde doğum yaptım ve kırkım çıktıktan sonra ebenin tavsiyesiyle 3 aylık iğne vurulmaya başlandı. İğne vurulmaya başladıktan sonra 15 gün süren adetim oldu ve bir ay sonra tekrar az lekeler halinde oldu, sonrasında ise hiç adet görmedim. Bu durum iğnenin yan etkisi mi, bana zarar verir mi, acaba yan etkisi var mı? Yardımcı olursanız sevinirim.",İlginiz için teşekkür ederim.,"Bu şekildeki duruma ""menopoz"" denir."
30203,"Karın ağrılarım var. Alt karın bölgemde hafif bir şişlik hissi var. Bu durum şimdiye kadar 3 haftadır devam ediyor. Doktorum amoksisilin yazdı. Sorunumu hafife almış olabileceğinden endişeliyim çünkü hiç tarama yapmadı veya etkilenen bölgeyi bile hissetmedi. Amoksisilin sorunu çözebilir mi ve belki yakında bir karın taraması ayarlamalı mıyım? Abartıyor olabilirim ama böbrek, pankreas veya karaciğer sorunu olabilir diye düşünüyorum. Amoksisilin diğer organlardan herhangi birinde sorun varsa durumu kötüleştirebilir mi?","Merhaba! İyi akşamlar. Ben Chat Doctor, sorunuza yanıt veren doktorum. Eğer ben senin tedavi eden doktorun olsaydım, sana antibiyotik tedavisini tamamlamadan önce rutin tam kan sayımı (CBC), rastgele kan şekeri ölçümü gibi bazı tetkikler önerirdim; idrar tahlilleri de dahil olmak üzere ultrasonografi ile birlikte. Antibiyotiğin yanı sıra semptomatik rahatlama için antiasit tedavisi öneririmdi. Ayrıca size bol miktarda sıvı tüketmenizi tavsiye ederdim. Daha sonraki yönetim, klinik değerlendirme sonrasında yapılan incelemelerin raporlarına bağlı olacaktır. O zamana kadar iyi günler dilerim.","Merhaba! Karnınızda ağrı hissediyorsunuz ve bu nedenle doktorunuz size antibiyotik olan amoksicilin reçete etti. Ancak doktorunuzun muayene etmediği için sizin gibi bir hastaya teşhis koymak zordur. Eğer ben sizin tedavi eden doktorunuz olsaydım, önce sizi iyice muanin ederdim. Sonra idrar tahlili yapardım. Daha sonra ultrasonografi yaptırırdım. Son olarak da kan testleri yapardım (CBC, LFT). Tüm bunlar olmadan ilaç almanızı öneremem."
18970,"Kepçe kulaklarım için KBB ve plastik cerraha gittim. Kulaklarım geriye yatınca bu kez kulak memesinin öne çıkması gibi bir durum var. Bunu plastik cerraha söylediğimde kulak memesini de hallederiz dedi. KBB uzmanı ise ona öyle bir şey yapamayız, tutmaz dedi. Sizce bu durumda bu iki uzmandan hangisine bu operasyonu yaptırmalıyım? KBB uzmanına mı, plastik cerraha mı?",Plastik cerrahın yaptığı ameliyat daha başarılı olur ama her ikisi birlikte yaparsa da olabilir tabii ki.,Hem kulağın hem de yüzün görünümünü değerlendirmek gerekir. Bu nedenle her ikisi tarafından da değerlendirilmeniz daha doğru olur.
26438,"Hocam merhaba. Ben ilişkiden sonra hiv profilaksisi için 66. saatte tivicay 50 mg ve sidatri 200/245 mg ilaçlarını günde birer tane ve 1 aya tamamlanacak şekilde kullanıyordu ama yanlış bildiğim için ben ilk 3 gün günde ikişer tane yutarak 25-28 gün kullanmıştım. İlişkiden sonraki 3. ayda hiv combo testim negatif gelmişti. Siz 6. ayda da test olun demiştiniz. Bende ilişkiden sonraki tahmini tarih arası günde hiv combo testi oldum yine, hiv1+2 antikor/p24 antijen sonucum=0,147 geldi. Sonra tahmini tarih günde hcv testi oldum, antihcv=0,037 geldi. Şimdi klinik.org.tr'de temas sonrası profilaksisi başlığı altında ""Kaynakta hcv-hiv koenfeksiyonu mevcutsa 12. ayda hiv testi tekrarlanmalı, geç serokonversiyon olabilir"" diyor. Şimdi benim 12. ayda yine test yaptırmama gerek yok, değil mi? Bende kesin hiv virüsü yok, değil mi hocam, artık rahatlayabilir miyim?",Merhaba! Artık bu konuyu kapatabilirsiniz; çünkü 12 ay önce yapılan tetkikiniz normal gelmiş (antikor). Sağlıklı günler dilerim.,Bence bu kadar uzun süre beklemeye de gerek yok.
27623,Annem 84 yaşında. Parkinson Hastalığı ve lenfatik kanser sonrası. Hijyenik pedinde vajinasından kan lekeleri fark ettim. Doktorunu ziyaret etti ve trimetoprim adlı 3 günlük bir tedavi yazıldı - idrar yaparken zorlanıyordu ve idrar enfeksiyonu olduğu düşünüldü. Ancak kan lekeleri durmadı. Yarın sabah tekrar doktoru aramayı planlıyorum ama siz ne tavsiye edersiniz? SMT,"Merhaba, Chat Doctor'a hoş geldiniz... Annenizin geçmişini inceledim.... İdrar yolu enfeksiyonları için antibiyotik tedavisi alıyordu..... Bu yüzden vajinal kanamaya neden olabilir...... Kanama devam ederse jinekolog tarafından muayene edilmesi gerekebilir........ Eğer rahim ağzı kanseri varsa biyopsiler yapılabilir veya smear testi ile değerlendirilebilir.... Ayrıca menopozda olduğundan dolayı hormonal dengesizlik de bu tür belirtilere yol açabilir.... Hormonal replasman terapisi faydalı olacaktır.... Kendinize iyi bakın","Merhaba, Sorunuz için teşekkürler. Anneni teşhis etmek için daha fazla bilgi gerekiyor. Kanama, rahim ağzı kanseri veya endometriyal kanserin erken belirtisidir. Bu nedenle lütfen aşağıdakileri yapın: 1. Vajinal akıntının sürekli olarak kontrol edilmesi 2. Rahim ağzından biyopsi yapılması 3. Gerekirse rahim ağzına lazer tedavisi 4. Eğer rahim ağzında herhangi bir anormallik varsa, o zaman rahim çıkarılabilir. 5. Ayrıca, eğer rahim ağzındaki anormal hücrelerin büyümesi devam ederse, bu durumda rahim ağzını çıkarmak gerekebilir. 6. Lütfen doktorunuza başvurun ve gerekli testleri yaptırın."
19568,"Sanırım aşırı bir aşağılık kompleksim var. Bu problemi yenmek istiyorum. Pratikte söylemek gerekirse, bu sorunun 1) Herhangi biri beni izlerken düzgün yazamıyorum. Yazım çok yavaş ve yazım iyi görünmüyor 2) Yeni biriyle konuşamıyorum 3) Sahne korkum çok fazla.","Merhaba! Sorunuzu dikkatlice okudum ve anlıyorum ki kaygı sorunları yaşıyorsunuz. Ancak endişelenmeyin çünkü uygun terapi ile tedavi edilebilirler. Öncelikle, belirtilerinizi daha da kötüleştirebilecek herhangi bir kafeinli içecek veya alkollü içki almamaya çalışın. Ayrıca, günlük olarak egzersiz yapmaya başlayın; örneğin yürüyüş yapmak, yoga yapmak vb. Meditasyon yapın. Rahatlatıcı müzik dinleyin. Stresinizi azaltmak için derin nefes alma tekniklerini uygulayın. Her gün yeterli miktarda su içerek vücudunuzdaki toksinleri atın. Sağlıklı beslenin ve bolca uyuyun.","Endişelerinizi anlıyorum, detayları inceledim. Çok fazla endişelenmemenizi öneriyorum. Aşağılık kompleksi diye bir şey yok çünkü böyle bir terimi duymadım veya görmedim. Birisi sizi izliyorsa yazma hızınız düşer mi? Eğer öyleyse, o zaman sadece sizsinizdir. Başkalarının önünde konuşmaktan korkuyorsanız, kendinizi nasıl ifade edeceğinizi bilmiyorsunuz demektir ya da kendinize güvenmiyorsunuzdur. Her iki durumda da sorunlarınız vardır ama bunlar aşılabilir sorunlar değildir. Lütfen daha detaylı bilgi verin ki size uygun şekilde yardımcı olayım. Kendinize iyi bakın."
8761,"Hayırlı günler doktor hanım, benim 14 aylık kızım var. Su çiçeği aşısını vurduracağım, 1 yaşından sonra vurduruluyor ama vurulma süresi var mı, 1 yaşından sonra istediğim zaman vurdurabilir miyim, süresi kısıtlı mı yani? Teşekkürler.","Merhaba, su çiçeğinde aşı için en uygun yaş 6 ay ile 2 yaş arasıdır ancak bu dönemde yapılmadıysa 4-6 yaşına kadar yapılabilir ve koruyuculuğu %95'tir. Geçmiş olsun.",Vakaların büyük bölümünde 6 aydan sonra aşı yapılıyor.
9642,"Merhaba, 25 yaşında bayanım. 3 ay önce hormon tahlili yaptırdım. T3, T4 ve TSH normal çıktı ancak anti TPO 1090 çıktı ve Hashimoto teşhisi konuldu. 3 ay sonra kan tahlillerini tekrarladım, hormon değerlerinde hala bir sıkıntı yok. Dün boyun için baktırdığım USG'de tiroidde 'sağ ve sol lob boyutları normal sınırlardadır, genel eko kaybı ve hipoekoik mikronodüller izlenmektedir' yazıyordu. Ve 'her iki submandibuler ve her iki yüzeyel parotis içinde, sonografik olarak benin karakterde birkaç LAP mevcuttur' yazmış. 3 ay önce yaptırdığım USG tamamen normal çıkmıştı ve nodül yoktu. Şu an bu bahsedilen hipoekoik mikronodüller tehlike arz ediyor mu? Okuduğum kadarıyla hipoekoik olması ve LAP bulunması malignite lehine gibi şeyler yazıyordu, o yüzden biraz tedirginim.",TSH değeriniz kaç acaba?,"Merhaba! Bu tür belirtilerle ilgili olarak çeşitli nedenler olabilir: - Başın altındaki kemiğin (kafatasının) içinden geçen büyük kan damarlarından biri olan serebral anevrizma veya vaskülit gibi bazı beyin lezyonları. - Midenizdeki asitlikten kaynaklanan kalp çarpıntısı ve göğüs sıkışması ile birlikte ortaya çıkan bir durum olan Gastroözofageal Reflü Hastalığı (GORD). - Böbreğinizde sorun varken de görünebilir. - Kardiyak aritmiler. - Nefes alma sırasında oksijen seviyelerindeki düşüşe bağlı olarak da ortaya çıkabilir. - Bazı ilaçların yan etkileri. - Diğerleri arasında nöbetler, çok düşük tansiyon vb. yer alır. Lütfen daha fazla bilgi verin; yaşınızı, cinsiyetinizi, varsa diğer eşlik eden hastalıkları, yakın zamanda herhangi bir yeni ilacı kullanıp kullanmadığını, alkolik olup olmadığınızı, sigara içip içmediğinizi, aile geçmişiyle ilgili bilgileri vb. sağlayın."
